 &plot nbnd=  42, nks=    91 /
            0.000000  0.000000  0.000000
  -68.358  -68.309  -35.382  -34.778  -34.483  -34.483  -34.414  -34.414  -20.021  -20.007
  -19.983  -19.983  -19.978  -19.978  -19.950  -19.950  -19.944  -19.944  -19.931  -19.926
  -19.867  -19.865  -13.299   -7.708   -4.462   -4.462   -1.954   -1.017   -0.802   -0.279
   -0.279    1.660    1.660    2.808    2.808    3.496    4.168    4.383    4.633    5.112
    5.385    6.314
            0.021357 -0.000000  0.000000
  -68.358  -68.309  -35.382  -34.778  -34.486  -34.484  -34.417  -34.415  -20.020  -20.007
  -19.983  -19.983  -19.978  -19.978  -19.951  -19.950  -19.944  -19.944  -19.931  -19.925
  -19.867  -19.865  -13.293   -7.696   -4.482   -4.460   -1.947   -1.027   -0.791   -0.292
   -0.270    1.632    1.651    2.811    2.822    3.539    4.179    4.393    4.642    5.121
    5.396    6.323
            0.042714 -0.000000  0.000000
  -68.357  -68.309  -35.380  -34.779  -34.493  -34.487  -34.424  -34.416  -20.020  -20.007
  -19.984  -19.983  -19.978  -19.978  -19.951  -19.950  -19.944  -19.944  -19.930  -19.925
  -19.867  -19.866  -13.274   -7.660   -4.538   -4.454   -1.928   -1.058   -0.759   -0.331
   -0.241    1.561    1.624    2.823    2.855    3.661    4.211    4.423    4.668    5.147
    5.430    6.349
            0.064070 -0.000000  0.000000
  -68.356  -68.308  -35.376  -34.780  -34.505  -34.492  -34.434  -34.418  -20.020  -20.007
  -19.984  -19.983  -19.978  -19.977  -19.951  -19.950  -19.944  -19.943  -19.929  -19.924
  -19.868  -19.866  -13.244   -7.601   -4.626   -4.445   -1.899   -1.105   -0.708   -0.399
   -0.193    1.478    1.579    2.848    2.895    3.839    4.263    4.476    4.711    5.191
    5.484    6.392
            0.085427 -0.000000  0.000000
  -68.355  -68.307  -35.372  -34.783  -34.520  -34.500  -34.448  -34.421  -20.019  -20.006
  -19.984  -19.984  -19.978  -19.977  -19.952  -19.950  -19.944  -19.943  -19.928  -19.923
  -19.869  -19.867  -13.202   -7.520   -4.739   -4.434   -1.865   -1.164   -0.640   -0.495
   -0.127    1.409    1.517    2.892    2.933    4.047    4.332    4.556    4.770    5.253
    5.557    6.451
            0.106784 -0.000000  0.000000
  -68.353  -68.306  -35.366  -34.786  -34.539  -34.512  -34.463  -34.425  -20.019  -20.006
  -19.985  -19.984  -19.978  -19.977  -19.952  -19.950  -19.944  -19.943  -19.927  -19.922
  -19.870  -19.869  -13.149   -7.418   -4.871   -4.424   -1.830   -1.230   -0.618   -0.558
   -0.045    1.369    1.443    2.958    2.968    4.254    4.419    4.672    4.846    5.334
    5.647    6.528
            0.128141 -0.000000  0.000000
  -68.351  -68.305  -35.359  -34.791  -34.560  -34.530  -34.477  -34.430  -20.018  -20.006
  -19.986  -19.984  -19.978  -19.976  -19.953  -19.950  -19.944  -19.943  -19.926  -19.921
  -19.872  -19.870  -13.087   -7.297   -5.015   -4.417   -1.798   -1.296   -0.760   -0.466
    0.049    1.363    1.367    2.997    3.047    4.435    4.522    4.833    4.938    5.436
    5.752    6.620
            0.149497 -0.000000  0.000000
  -68.349  -68.304  -35.351  -34.797  -34.583  -34.554  -34.490  -34.437  -20.017  -20.005
  -19.986  -19.985  -19.978  -19.975  -19.954  -19.950  -19.944  -19.942  -19.924  -19.919
  -19.873  -19.872  -13.017   -7.158   -5.165   -4.417   -1.770   -1.362   -0.908   -0.367
    0.145    1.302    1.391    3.017    3.157    4.587    4.641    5.028    5.046    5.561
    5.873    6.726
            0.170854 -0.000000  0.000000
  -68.346  -68.302  -35.343  -34.805  -34.606  -34.583  -34.502  -34.445  -20.016  -20.004
  -19.987  -19.985  -19.978  -19.975  -19.955  -19.950  -19.944  -19.942  -19.922  -19.917
  -19.875  -19.874  -12.939   -7.003   -5.318   -4.425   -1.748   -1.429   -1.044   -0.262
    0.230    1.268    1.449    3.028    3.288    4.724    4.776    5.170    5.231    5.709
    6.007    6.842
            0.192211 -0.000000  0.000000
  -68.343  -68.300  -35.333  -34.816  -34.630  -34.614  -34.514  -34.454  -20.015  -20.004
  -19.988  -19.986  -19.978  -19.974  -19.956  -19.949  -19.944  -19.941  -19.920  -19.915
  -19.877  -19.876  -12.856   -6.836   -5.467   -4.445   -1.731   -1.515   -1.140   -0.157
    0.283    1.289    1.533    3.028    3.435    4.860    4.926    5.310    5.426    5.876
    6.156    6.851
            0.213568 -0.000000  0.000000
  -68.340  -68.299  -35.323  -34.831  -34.651  -34.648  -34.526  -34.465  -20.013  -20.003
