#  E (eV)   dos(E)     Int dos(E) EFermi =    2.921 eV
  -7.750  0.9118E-81  0.1543E-80
  -7.740  0.9068E-81  0.1553E-80
  -7.730  0.9018E-81  0.1562E-80
  -7.720  0.8968E-81  0.1571E-80
  -7.710  0.8918E-81  0.1579E-80
  -7.700  0.8868E-81  0.1588E-80
  -7.690  0.8817E-81  0.1597E-80
  -7.680  0.8767E-81  0.1606E-80
  -7.670  0.8717E-81  0.1615E-80
  -7.660  0.8667E-81  0.1623E-80
  -7.650  0.8617E-81  0.1632E-80
  -7.640  0.8567E-81  0.1640E-80
  -7.630  0.8517E-81  0.1649E-80
  -7.620  0.8467E-81  0.1657E-80
  -7.610  0.8417E-81  0.1666E-80
  -7.600  0.8367E-81  0.1674E-80
  -7.590  0.8316E-81  0.1683E-80
  -7.580  0.8266E-81  0.1691E-80
  -7.570  0.8216E-81  0.1699E-80
  -7.560  0.8166E-81  0.1707E-80
  -7.550  0.8116E-81  0.1715E-80
  -7.540  0.8066E-81  0.1723E-80
  -7.530  0.8016E-81  0.1731E-80
  -7.520  0.7966E-81  0.1739E-80
  -7.510  0.7916E-81  0.1747E-80
  -7.500  0.7865E-81  0.1755E-80
  -7.490  0.7815E-81  0.1763E-80
  -7.480  0.7765E-81  0.1771E-80
  -7.470  0.7715E-81  0.1778E-80
  -7.460  0.7665E-81  0.1786E-80
  -7.450  0.7615E-81  0.1794E-80
  -7.440  0.7565E-81  0.1801E-80
  -7.430  0.7515E-81  0.1809E-80
  -7.420  0.7465E-81  0.1816E-80
  -7.410  0.7415E-81  0.1824E-80
  -7.400  0.7364E-81  0.1831E-80
  -7.390  0.7314E-81  0.1838E-80
  -7.380  0.7264E-81  0.1846E-80
  -7.370  0.7214E-81  0.1853E-80
  -7.360  0.7164E-81  0.1860E-80
  -7.350  0.7114E-81  0.1867E-80
  -7.340  0.7064E-81  0.1874E-80
  -7.330  0.7014E-81  0.1881E-80
  -7.320  0.6964E-81  0.1888E-80
  -7.310  0.6913E-81  0.1895E-80
  -7.300  0.6863E-81  0.1902E-80
  -7.290  0.6813E-81  0.1909E-80
  -7.280  0.6763E-81  0.1915E-80
  -7.270  0.6713E-81  0.1922E-80
  -7.260  0.6663E-81  0.1929E-80
  -7.250  0.6613E-81  0.1935E-80
  -7.240  0.6563E-81  0.1942E-80
  -7.230  0.6513E-81  0.1949E-80
  -7.220  0.6463E-81  0.1955E-80
  -7.210  0.6412E-81  0.1961E-80
  -7.200  0.6362E-81  0.1968E-80
  -7.190  0.6312E-81  0.1974E-80
  -7.180  0.6262E-81  0.1980E-80
  -7.170  0.6212E-81  0.1987E-80
  -7.160  0.6162E-81  0.1993E-80
  -7.150  0.6112E-81  0.1999E-80
  -7.140  0.6062E-81  0.2005E-80
  -7.130  0.6012E-81  0.2011E-80
  -7.120  0.5961E-81  0.2017E-80
  -7.110  0.5911E-81  0.2023E-80
  -7.100  0.5861E-81  0.2029E-80
  -7.090  0.5811E-81  0.2034E-80
  -7.080  0.5761E-81  0.2040E-80
  -7.070  0.5711E-81  0.2046E-80
  -7.060  0.5661E-81  0.2052E-80
  -7.050  0.5611E-81  0.2057E-80
  -7.040  0.5561E-81  0.2063E-80
  -7.030  0.5511E-81  0.2068E-80
  -7.020  0.5460E-81  0.2074E-80
