#  E (eV)   dos(E)     Int dos(E) EFermi =    1.520 eV
  -7.750  0.5832E-80  0.7743E-80
  -7.740  0.5827E-80  0.7801E-80
  -7.730  0.5822E-80  0.7859E-80
  -7.720  0.5817E-80  0.7917E-80
  -7.710  0.5812E-80  0.7975E-80
  -7.700  0.5807E-80  0.8033E-80
  -7.690  0.5802E-80  0.8092E-80
  -7.680  0.5797E-80  0.8149E-80
  -7.670  0.5792E-80  0.8207E-80
  -7.660  0.5787E-80  0.8265E-80
  -7.650  0.5782E-80  0.8323E-80
  -7.640  0.5777E-80  0.8381E-80
  -7.630  0.5772E-80  0.8439E-80
  -7.620  0.5767E-80  0.8496E-80
  -7.610  0.5762E-80  0.8554E-80
  -7.600  0.5757E-80  0.8611E-80
  -7.590  0.5752E-80  0.8669E-80
  -7.580  0.5747E-80  0.8726E-80
  -7.570  0.5742E-80  0.8784E-80
  -7.560  0.5737E-80  0.8841E-80
  -7.550  0.5732E-80  0.8898E-80
  -7.540  0.5727E-80  0.8956E-80
  -7.530  0.5722E-80  0.9013E-80
  -7.520  0.5717E-80  0.9070E-80
  -7.510  0.5712E-80  0.9127E-80
  -7.500  0.5707E-80  0.9184E-80
  -7.490  0.5702E-80  0.9241E-80
  -7.480  0.5697E-80  0.9298E-80
  -7.470  0.5692E-80  0.9355E-80
  -7.460  0.5687E-80  0.9412E-80
  -7.450  0.5681E-80  0.9469E-80
  -7.440  0.5676E-80  0.9526E-80
  -7.430  0.5671E-80  0.9582E-80
  -7.420  0.5666E-80  0.9639E-80
  -7.410  0.5661E-80  0.9696E-80
  -7.400  0.5656E-80  0.9752E-80
  -7.390  0.5651E-80  0.9809E-80
  -7.380  0.5646E-80  0.9865E-80
  -7.370  0.5641E-80  0.9922E-80
  -7.360  0.5636E-80  0.9978E-80
  -7.350  0.5631E-80  0.1003E-79
  -7.340  0.5626E-80  0.1009E-79
  -7.330  0.5621E-80  0.1015E-79
  -7.320  0.5616E-80  0.1020E-79
  -7.310  0.5611E-80  0.1026E-79
  -7.300  0.5606E-80  0.1032E-79
  -7.290  0.5601E-80  0.1037E-79
  -7.280  0.5596E-80  0.1043E-79
  -7.270  0.5591E-80  0.1048E-79
  -7.260  0.5586E-80  0.1054E-79
  -7.250  0.5581E-80  0.1059E-79
  -7.240  0.5576E-80  0.1065E-79
  -7.230  0.5571E-80  0.1071E-79
  -7.220  0.5566E-80  0.1076E-79
  -7.210  0.5561E-80  0.1082E-79
  -7.200  0.5556E-80  0.1087E-79
  -7.190  0.5551E-80  0.1093E-79
  -7.180  0.5546E-80  0.1098E-79
  -7.170  0.5541E-80  0.1104E-79
  -7.160  0.5536E-80  0.1109E-79
  -7.150  0.5531E-80  0.1115E-79
  -7.140  0.5526E-80  0.1121E-79
  -7.130  0.5521E-80  0.1126E-79
  -7.120  0.5516E-80  0.1132E-79
  -7.110  0.5511E-80  0.1137E-79
  -7.100  0.5506E-80  0.1143E-79
  -7.090  0.5501E-80  0.1148E-79
  -7.080  0.5496E-80  0.1154E-79
  -7.070  0.5491E-80  0.1159E-79
  -7.060  0.5486E-80  0.1165E-79
  -7.050  0.5481E-80  0.1170E-79
  -7.040  0.5476E-80  0.1176E-79
  -7.030  0.5471E-80  0.1181E-79
  -7.020  0.5466E-80  0.1186E-79
  -7.010  0.5461E-80  0.1192E-79
  -7.000  0.5456E-80  0.1197E-79
  -6.990  0.5451E-80  0.1203E-79
  -6.980  0.5446E-80  0.1208E-79
  -6.970  0.5441E-80  0.1214E-79
  -6.960  0.5436E-80  0.1219E-79
  -6.950  0.5431E-80  0.1225E-79
  -6.940  0.5426E-80  0.1230E-79
  -6.930  0.5421E-80  0.1235E-79
  -6.920  0.5416E-80  0.1241E-79
  -6.910  0.5411E-80  0.1246E-79
  -6.900  0.5406E-80  0.1252E-79
  -6.890  0.5401E-80  0.1257E-79
  -6.880  0.5396E-80  0.1262E-79
  -6.870  0.5391E-80  0.1268E-79
  -6.860  0.5386E-80  0.1273E-79
  -6.850  0.5381E-80  0.1279E-79
  -6.840  0.5376E-80  0.1284E-79
  -6.830  0.5371E-80  0.1289E-79
  -6.820  0.5366E-80  0.1295E-79
  -6.810  0.5361E-80  0.1300E-79
  -6.800  0.5356E-80  0.1305E-79
  -6.790  0.5351E-80  0.1311E-79
  -6.780  0.5346E-80  0.1316E-79
  -6.770  0.5341E-80  0.1321E-79
  -6.760  0.5336E-80  0.1327E-79
  -6.750  0.5331E-80  0.1332E-79
  -6.740  0.5326E-80  0.1337E-79
  -6.730  0.5321E-80  0.1343E-79
  -6.720  0.5316E-80  0.1348E-79
  -6.710  0.5311E-80  0.1353E-79
  -6.700  0.5306E-80  0.1359E-79
  -6.690  0.5301E-80  0.1364E-79
  -6.680  0.5296E-80  0.1369E-79
  -6.670  0.5291E-80  0.1375E-79
  -6.660  0.5286E-80  0.1380E-79
  -6.650  0.5281E-80  0.1385E-79
  -6.640  0.5276E-80  0.1390E-79
