Results for the lattice constant convegence in Ta2C

lattice constant (Angstrom)           total energy / Ry
5.0       -1372.92620088
5.1       -1373.04278774
5.2       -1373.12940475
5.3       -1373.19016057
5.4       -1373.22869980
5.5       -1373.24823911
5.55       -1373.25178076
5.6       -1373.25160400
5.65       -1373.24800902
